income,years_employed,repaid
54.0,6.5,-1
68.8,16.8,1
53.6,16.5,1
27.0,18.9,1
47.6,6.0,-1
29.7,11.9,-1
36.0,0.7,-1
64.5,17.6,1
57.6,19.2,1
73.1,19.2,1
83.6,6.4,1
16.8,6.0,-1
35.8,4.5,-1
28.4,12.8,-1
19.4,7.2,-1
86.9,14.0,1
30.7,17.5,1
22.6,5.3,-1
87.3,4.3,1
60.5,17.1,1
32.1,9.9,-1
64.7,0.3,-1
32.4,10.3,-1
52.5,1.9,-1
82.9,19.8,1
51.9,12.0,1
56.0,18.3,1
41.6,15.8,1
85.7,15.8,1
32.5,12.0,-1
58.5,3.8,-1
58.9,4.8,-1
48.6,6.8,-1
31.2,13.0,-1
62.7,15.1,1
87.5,18.4,1
65.1,2.6,-1
22.6,7.1,-1
51.6,1.9,-1
48.6,7.3,-1
81.6,12.4,1
21.3,11.1,-1
57.3,17.8,1
74.8,12.1,1
72.5,1.4,-1
70.9,17.8,1
41.6,6.4,-1
74.2,8.5,1
82.5,6.4,1
83.9,3.8,1
50.0,7.4,-1
69.8,11.0,1
15.1,15.9,-1
62.9,13.2,1
50.2,13.5,1
38.5,2.4,-1
40.9,18.9,1
64.7,16.4,1
23.5,7.4,-1
16.0,12.1,-1
